Code,Benchmark text
Communication – discussion: ELA.1.C.2.1,"Present information about a topic, using complete sentences, appropriate volume, and clear pronunciation. ​"
Communication – discussion: ELA.11.C.2.1 / ELA.12.C.2.1,"Initiate, lead, and evaluate collaborative discussions; integrate multiple sources."
Communication – discussion: ELA.2.C.2.1,"Present information orally using complete sentences, appropriate volume, and clear pronunciation. ​"
Communication – discussion: ELA.3.C.2.1,"Present information orally, sequencing ideas logically and using appropriate facts and descriptive details. ​"
Communication – discussion: ELA.4.C.2.1,"Present information orally, sequencing ideas logically and using appropriate facts and relevant details. ​"
Communication – discussion: ELA.5.C.2.1,"Present information orally using logical sequencing, appropriate details, and multimodal elements. ​"
Communication – discussion: ELA.6.C.2.1,"Present information orally in a logical sequence, using nonverbal cues, appropriate volume, and clear pronunciation. ​"
Communication – discussion: ELA.7.C.2.1,"Present information orally, emphasizing key points with appropriate tone and pacing. ​"
Communication – discussion: ELA.8.C.2.1,"Present information orally, in a logical sequence, supporting the central idea with credible evidence. ​"
Communication – discussion: ELA.9.C.2.1 / ELA.10.C.2.1,Initiate and participate effectively in collaborative discussions.
Reading – across genres: ELA.1.R.3.2,"Retell a text in oral or written form to enhance comprehension: a. Use main story elements at the beginning, middle, and end for a literary text; b. Use topic and important details for an informational text. ​"
Reading – across genres: ELA.11.R.3.3 / ELA.12.R.3.3,Evaluate how authors from different periods treat similar themes or topics. ​
Reading – across genres: ELA.2.R.3.2,Retell a text to enhance comprehension: a. Use plot structure and relevant details for a literary text; b. Use central idea and relevant details for an informational text. ​
Reading – across genres: ELA.3.R.3.2,Summarize a text to enhance comprehension.
Reading – across genres: ELA.4.R.3.2,Summarize a text to enhance comprehension.
Reading – across genres: ELA.4.R.3.3,Compare and contrast accounts of the same event using a primary and secondary source. ​
Reading – across genres: ELA.5.R.3.2,Summarize a text to enhance comprehension.
Reading – across genres: ELA.5.R.3.3,Compare and contrast how primary and secondary sources present information on the same topic. ​
Reading – across genres: ELA.6.R.3.1,Explain how figurative language contributes to tone and meaning in text(s). ​
Reading – across genres: ELA.6.R.3.2,Paraphrase content from grade‑level texts. ​
Reading – across genres: ELA.6.R.3.3,Compare and contrast how authors from different time periods address the same or related topics. ​
Reading – across genres: ELA.7.R.3.2,Summarize a text to enhance comprehension. ​
Reading – across genres: ELA.7.R.3.3,Compare and contrast how authors with differing perspectives address the same or related topics or themes. ​
Reading – across genres: ELA.8.R.3.2,Summarize a text to enhance comprehension. ​
Reading – across genres: ELA.8.R.3.3,Compare and contrast how authors address the same or related topics or themes.
Reading – across genres: ELA.9.R.3.3 / ELA.10.R.3.3,Compare and contrast how authors treat the same or similar topics.
Reading – informational: ELA.1.R.2.1,Identify the basic characteristics of familiar informational text. ​
Reading – informational: ELA.1.R.2.2,Identify the topic of and relevant details in a text. ​
Reading – informational: ELA.11.R.2.2 / ELA.12.R.2.2,Determine and evaluate central ideas; analyze their development and interaction.
