Code,Benchmark
All modes: Advanced Mid+,"Sustain narration and description in past, present, and future time; support opinions and hypothesize."
Interpersonal: Advanced Low,"Participate in paragraph‑length conversation about events, experiences, and some academic topics; handle complications."
Interpersonal: Intermediate High,"Participate in conversations, often in paragraph‑length turns, on familiar topics and some concrete social issues."
Interpersonal: Intermediate Low,Ask and answer a variety of questions; participate in simple conversations on familiar topics. ​
Interpersonal: Intermediate Mid,Handle short social interactions in everyday situations by asking and answering a variety of questions. ​
Interpersonal: Novice High,Ask and answer simple questions; handle short social interactions with some repetition and support. ​
Interpersonal: Novice Low–Mid,"Use isolated words, memorized phrases, and simple learned questions/answers on very familiar topics. ​"
Interpretive: Advanced Low,Understand main ideas and most details of connected texts on familiar and some unfamiliar topics; follow arguments.
Interpretive: Intermediate High,Understand main ideas and some implicit information in a variety of familiar and some unfamiliar texts.
Interpretive: Intermediate Low,"Understand main ideas and some supporting details in simple, connected texts on familiar topics."
Interpretive: Intermediate Mid,Understand main ideas and many details in simple texts on familiar and everyday topics; begin to follow short narratives.
Interpretive: Novice High,"Understand main ideas in short, highly predictable oral or written texts on familiar topics supported by visuals."
Interpretive: Novice Low–Mid,"Understand words, phrases, and memorized expressions in highly predictable texts with strong visual support."
Presentational: Advanced Low,"Present organized, paragraph‑length speeches or texts to narrate, explain, or persuade on familiar topics."
Presentational: Intermediate High,Present information and narrate about events and experiences in paragraph‑length discourse.
Presentational: Intermediate Low,"Produce simple connected sentences in a series to describe, narrate, or give basic information. ​"
Presentational: Intermediate Mid,"Present information in connected sentences about familiar topics, with some organization and detail."
Presentational: Novice High,"Produce simple sentences, often using memorized chunks, about familiar topics. ​"
Presentational: Novice Low–Mid,"Copy or produce lists, labels, and simple memorized phrases. ​"
