Code,Benchmark
JUD.1–2.HG.1,"Recognize that the Jewish people have a long history and name a few key figures (e.g., Avraham, Moshe, David)."
JUD.1–2.HG.2,Identify Israel on a map and name one or two important cities or places.
JUD.3–5.HG.1,"Place a basic sequence of key events in Jewish history on a simple timeline (e.g., Avraham, Yetziat Mitzrayim, First Temple, Second Temple, modern Israel)."
JUD.3–5.HG.2,"Describe basic physical and human geography of Israel (landforms, climate, major cities, holy sites) and why those locations are important."
JUD.3–5.HG.3,Identify examples of Jewish communities in different parts of the world and describe one or two features of their life.
JUD.6–8.HG.1,"Explain causes and consequences of major events or periods in Jewish history (e.g., destruction of the Temples, exile, emancipation, modern Zionism)."
JUD.6–8.HG.2,"Use maps and timelines to trace Jewish migration, diaspora communities, and changes in political control over the Land of Israel."
JUD.6–8.HG.3,"Analyze primary and secondary sources (texts, documents, images) to understand experiences of Jews in a specific time and place."
JUD.9–12.HG.1,"Analyze turning points and long‑term trends in Jewish and Israeli history, explaining multiple causes and perspectives."
JUD.9–12.HG.2,"Evaluate how geography, geopolitics, and demographics have shaped Jewish life and the development of the State of Israel."
JUD.9–12.HG.3,"Interpret and critique primary sources (documents, speeches, literature, visual materials) from modern Jewish and Israeli history."
