Code,Benchmark
JUD.K12.WR.1,"Writing in Judaics: Write explanations of Jewish texts, practices, or historical events using relevant textual evidence."
JUD.K12.WR.2,"Writing in Judaics: Write arguments on Jewish ethical or halakhic questions, citing and interpreting multiple sources."
JUD.K12.RS.1,"Research in Judaics: Locate, evaluate, and cite Jewish and general sources for Judaics research tasks."
JUD.K12.CT.1,"Critical thinking in texts: Distinguish between peshat, derash, and later interpretation when reading Jewish sources."
JUD.K12.CT.2,Critical thinking in ideas: Compare Jewish ideas with other worldviews respectfully and accurately where appropriate.
JUD.K12.CT.3,Critical thinking in args: Identify assumptions and types of reasoning in Jewish philosophical or halakhic texts.
JUD.K12.MD.1,"Middot – knowledge: Identify and describe key middot (e.g., chesed, emet, anava) in texts and real‑life examples."
JUD.K12.MD.2,Middot – practice: Set personal goals for practicing a selected middah and reflect on progress over time.
JUD.K12.MD.3,Middot – text analysis: Analyze how characters in Jewish texts embody or fail to embody specific middot.
JUD.K12.CM.1,"Community & peoplehood: Describe ways Jews participate in local, national, and global Jewish communities."
JUD.K12.CM.2,Community & peoplehood: Identify and evaluate opportunities for personal involvement in Jewish life and communal responsibility.
JUD.K12.ISR.1,"Israel connection: Articulate multiple connections (historical, spiritual, cultural, personal) to the Land and State of Israel."
JUD.K12.HL.1,Hebrew‑through‑Judaics: Use appropriate Hebrew terminology for core Judaic concepts when speaking and writing in Judaics.
JUD.K12.HL.2,"Hebrew‑through‑Judaics: Read short Hebrew excerpts from Tanakh, siddur, or Mishnah with support, increasing independence by grade band."
JUD.K12.ML.1,Metacognition in Judaics: Identify personal strengths and challenges in Judaic learning and set specific improvement goals.
JUD.K12.ML.2,"Metacognition in Judaics: Use specific learning strategies (e.g., annotation, chevruta norms, organizers) to tackle challenging texts and reflect on their effectiveness."
