Code,Benchmark
JUD.1–2.TX.1,"Identify main characters, setting, and key events in simple Torah stories; retell them in order."
JUD.1–2.TX.2,State the simple moral or value in a Torah story or midrash in one or two sentences.
JUD.1–2.TX.3,"Identify a basic mitzvah or practice connected to a story or holiday (e.g., Shabbat, tzedakah)."
JUD.3–5.TX.1,Explain the main idea or theme of a Torah or Navi story and support it with at least two details from the text.
JUD.3–5.TX.2,"Summarize a parashah or story in a short, well‑sequenced paragraph including key events and “what we learn.”"
JUD.3–5.TX.3,"Compare two stories or midrashim that share a character, event, or theme (e.g., kindness, honesty)."
JUD.3–5.TX.4,Identify where a mitzvah appears in text and explain in simple terms what the mitzvah requires.
JUD.6–8.TX.1,"Analyze how characters’ choices and consequences in Tanakh or rabbinic narratives express themes and values (e.g., teshuvah, emunah, leadership)."
JUD.6–8.TX.2,"Identify the central idea in a halakhic, philosophical, or historical Jewish text and explain how key details support it."
JUD.6–8.TX.3,"Compare how at least two Jewish sources (e.g., Rashi and Ramban, Mishnah and Gemara, a classical and modern rabbi) address the same pasuk, sugya, or issue."
JUD.6–8.TX.4,"Explain the basic structure and flow of a short halakhic argument (claim, proof‑texts, conclusion) in student‑friendly language."
JUD.9–12.TX.1,"Analyze how themes and theological or ethical ideas develop across multiple Jewish texts and genres (Tanakh, rabbinic, medieval, modern)."
JUD.9–12.TX.2,"Evaluate a halakhic or hashkafic argument by identifying its assumptions, reasoning, and use of sources."
JUD.9–12.TX.3,Synthesize ideas from several sources to build or critique a position on a contemporary Jewish question.
JUD.9–12.TX.4,Analyze how historical context and author background influence the interpretation or argument in a Jewish text.
