Code,Benchmark
"Geography / History: SS.912.H.*, SS.912.S.*",Analyze how culture and society change over time.
Geography: SS.1.G.1.1,Use physical and cultural/political maps to locate places in Florida. ​
Geography: SS.1.G.1.2,"Identify key elements of maps and globes (compass rose, directions, title, key/legend with symbols). ​"
Geography: SS.1.G.1.3,"Construct a basic map using key elements, including cardinal directions and map symbols. ​"
Geography: SS.2.G.1.x,"Use maps to locate communities, Florida, the U.S., continents, and oceans. ​"
Geography: SS.2.G.2.x,Describe human and physical characteristics of places. ​
Geography: SS.3.G.1.x,Use maps and other geographic tools to locate and describe places in the world. study
Geography: SS.3.G.2.x,Identify natural and cultural features of places. ​
Geography: SS.4.G.1.1,Identify physical features of Florida. ​
Geography: SS.4.G.1.2,Locate and label cultural features on a Florida map. ​
Geography: SS.4.G.2.x,Explain how physical features and climate influence settlement and activities. ​
Geography: SS.5.G.1.x,Use geographic tools to identify and describe major world regions. ​
Geography: SS.5.G.4.x,Demonstrate how physical and cultural landscape affects human activities. ​
Geography: SS.6.G.1.x,"Use maps, globes, and other tools to acquire, process, and report information about people, places, and environments in the world. ​"
Geography: SS.6.G.2.x,Understand the physical and cultural characteristics of places and regions in the ancient world. ​
Geography: SS.7.G.1.x,Use maps and other geographic tools to analyze spatial information. ​
Geography: SS.7.G.2.x,Explain how human and physical geography influences culture. ​
Geography: SS.8.G.1.x,Use maps to interpret data and draw conclusions about historical events. ​
Geography: SS.912.G.1.x,"Understand how to use maps and other geographic representations, tools, and technologies to obtain, process, and report information."
Geography: SS.912.G.2.x,Understand the relationships between human populations and the physical world.
Geography: SS.912.G.4.x,"Understand the characteristics, distribution, and complexity of Earth’s cultural mosaics."
History (Civics / Global): SS.7.W.* or SS.7.CG.*,Examine the development of political systems and citizenship. ​
History (U.S.): SS.8.A.*,"Examine major events in U.S. history, including immigration and cultural groups. ​"
History (World): SS.6.W.*,"Analyze ancient civilizations (Mesopotamia, Egypt, Israel, Greece, Rome)."
History: SS.1.A.1.x,Distinguish between historical fact and fiction using primary sources. ​
History: SS.1.A.2.x,Compare life now with life in the past. ​
History: SS.2.A.1.x,Use timelines and sequence events. ​
History: SS.3.A.1.3,"Define terms related to the social sciences (history, geography, civics, economics). ​"
History: SS.4.A.1.2,Synthesize information about Florida history using print and electronic media. ​
History: SS.5.A.1.x,Use primary and secondary sources to understand history. ​
History: SS.8.A.1.x,Analyze primary and secondary sources to understand historical events. ​
History: SS.912.A.*,"Analyze major events in U.S. history (immigration, civil rights, wars)."
History: SS.912.W.*,"Analyze major events, cultures, and conflicts in world history (ancient to modern)."
