Subject,Key Chapter,StartVerse,EndVerse,Posnack Learning Goals (TBD)
Genesis,1,1,2,Introduction: formless earth and Spirit over the waters
Genesis,1,3,5,Day 1: light and darkness
Genesis,1,6,8,Day 2: sky separating waters
Genesis,1,9,13,Day 3: dry land and vegetation
Genesis,1,14,19,"Day 4: sun, moon, and stars"
Genesis,1,20,23,Day 5: sea creatures and birds
Genesis,1,24,31,Day 6: land animals and humanity in God’s image
Genesis,2,1,3,Day 7: God rests and sanctifies the seventh day
Genesis,2,4,14,Man formed and placed in Eden; garden rivers
Genesis,2,15,17,Command about the tree of knowledge
Genesis,2,18,25,Creation of woman and institution of marriage
Genesis,3,1,7,Temptation by the serpent and disobedience
Genesis,3,8,13,God questions the man and woman
Genesis,3,14,19,"Curses on serpent, woman, and man"
Genesis,3,20,24,Expulsion from Eden; way to tree of life guarded
Genesis,4,1,8,Cain and Abel; murder in the field
Genesis,4,9,16,Judgment and protection of Cain
Genesis,4,17,24,Cain’s descendants and early culture
Genesis,4,25,26,Birth of Seth and calling on the Lord
Genesis,5,1,5,Heading and Adam’s line introduced
Genesis,5,6,20,Generations from Seth to Enoch
Genesis,5,21,24,Enoch walks with God and is taken
Genesis,5,25,32,"Lamech, Noah, and Noah’s sons introduced"
Genesis,6,1,4,“Sons of God” and growing corruption
Genesis,6,5,8,God’s grief; decision to judge; Noah finds favor
Genesis,6,9,22,Generations of Noah; ark instructions
Genesis,7,1,10,Final instructions; Noah enters the ark
Genesis,7,11,16,Onset of the flood
Genesis,7,17,24,Waters prevail; all outside the ark perish
Genesis,8,1,5,God remembers Noah; waters recede; ark on Ararat
Genesis,8,6,12,Raven and dove sent out
Genesis,8,13,19,Earth dries; Noah leaves the ark
Genesis,8,20,22,Noah’s sacrifice and God’s promise
Genesis,9,1,7,Blessing on Noah; mandate and bloodshed prohibition
Genesis,9,8,17,Covenant with Noah; sign of the rainbow
Genesis,9,18,23,Noah’s drunkenness and Ham’s act
Genesis,9,24,29,Words over Noah’s sons; Noah’s death
Genesis,10,1,5,Descendants of Japheth
Genesis,10,6,20,Descendants of Ham and Nimrod
Genesis,10,21,31,Descendants of Shem
Genesis,10,32,32,Summary of nations after the flood
Genesis,11,1,4,Plan to build city and tower
Genesis,11,5,9,God confuses language; Babel
Genesis,11,10,26,Genealogy from Shem to Terah
Genesis,11,27,32,Family of Terah; Abram introduced
Genesis,12,1,3,Call of Abram and promises
Genesis,12,4,9,Abram’s journey to Canaan and worship
Genesis,12,10,16,Abram and Sarai in Egypt; deception
Genesis,12,17,20,Plagues on Pharaoh; Abram sent away
Genesis,13,1,4,Return from Egypt; worship at Bethel
Genesis,13,5,13,Strife; Abram and Lot separate
Genesis,13,14,18,God reaffirms land promise
Genesis,14,1,12,War of kings; Lot captured
Genesis,14,13,16,Abram rescues Lot
Genesis,14,17,20,Meeting with Melchizedek
Genesis,14,21,24,Abram refuses spoils of Sodom
Genesis,15,1,6,Promise of an heir; Abram believes
Genesis,15,7,11,Covenant preparation with animals
Genesis,15,12,16,Prophecy of sojourn and return
Genesis,15,17,21,Covenant ratified; land boundaries
Genesis,16,1,6,"Sarai, Hagar, and conception of Ishmael"
Genesis,16,7,12,Angel meets Hagar; promise of Ishmael
Genesis,16,13,16,Hagar names God; Ishmael born
Genesis,17,1,8,God promises Abraham many nations
Genesis,17,9,14,Circumcision instituted as covenant sign
Genesis,17,15,22,Sarai renamed; promise of Isaac
Genesis,17,23,27,Abraham circumcises his household
Genesis,18,1,8,Three visitors received by Abraham
Genesis,18,9,15,Promise of a son to Sarah
Genesis,18,16,21,Plan concerning Sodom disclosed
Genesis,18,22,33,Abraham intercedes for Sodom
Genesis,19,1,11,Angels visit Lot; mob at Sodom
Genesis,19,12,22,Warning and escape to Zoar
Genesis,19,23,29,Destruction of Sodom and Gomorrah
Genesis,19,30,38,Lot’s daughters; Moab and Ammon
Genesis,20,1,7,Abraham and Sarah in Gerar; Sarah taken
Genesis,20,8,13,Abraham explains his fear and half-truth
Genesis,20,14,18,Sarah restored; Abraham prays
Genesis,21,1,7,Birth of Isaac
Genesis,21,8,14,Hagar and Ishmael sent away
Genesis,21,15,21,God preserves Hagar and Ishmael
Genesis,21,22,34,Covenant at Beersheba with Abimelech
Genesis,22,1,8,God tests Abraham; journey to Moriah
Genesis,22,9,14,Binding of Isaac; ram provided
Genesis,22,15,19,Blessing reaffirmed after obedience
Genesis,22,20,24,"News of Nahor’s children, including Rebekah"
Genesis,23,1,2,Death of Sarah at Hebron
Genesis,23,3,16,Negotiation for Machpelah
Genesis,23,17,20,Purchase completed; burial place secured
Genesis,24,1,9,Servant commissioned to find a wife for Isaac
Genesis,24,10,21,Journey and prayer at the well
Genesis,24,22,33,Meeting Rebekah’s family; hospitality
Genesis,24,34,49,Servant recounts Abraham’s story and mission
